Scientific Name ▴,Fangs,Toxicity,Rating ?,Common name
Rhinobothryum bovallii,rear-fanged,unclear toxicity,???,False Tree Coral
Rhamphiophis rubropunctatus,rear-fanged,venomous,💀💀,Red Beaked Snake
Rhamphiophis rostratus,rear-fanged,venomous,💀💀,Rufous Beaked Snake
Rhamphiophis oxyrhynchus,rear-fanged,venomous,💀💀,Rufous Beaked Snake
Rhamnophis batesii,rear-fanged,unclear toxicity,???,Spotted Dagger tooth Tree Snake
Rhamnophis aethiopissa,rear-fanged,unclear toxicity,???,Large eyed Green Treesnake
Rhagerhis moilensis,rear-fanged,venomous,?💀?,Moila Snake
Rhadinophanes monticola,rear-fanged,unclear toxicity,???,Graceful Mountain Snake
Rhadinella tolpanorum,rear-fanged,unclear toxicity,???,Atlántida Dwarf Brown Snake
Rhadinella serperaster,rear-fanged,unclear toxicity,???,Striped Litter Snake
Rhadinella schistosa,rear-fanged,unclear toxicity,???,Brokencollar Graceful Brown Snake
Rhadinella rogerromani,rear-fanged,unclear toxicity,???,Saslaya Mountains Dwarf Brown Snake
Rhadinella posadasi,rear-fanged,unclear toxicity,???,Posada's Graceful Brown Snake
Rhadinella pilonaorum,rear-fanged,unclear toxicity,???,Stuart's Graceful Brown Snake
Rhadinella pegosalyta,rear-fanged,unclear toxicity,???,Solid striped Dwarf Brown Snake
Rhadinella montecristi,rear-fanged,unclear toxicity,???,Monte Cristi Graceful Brown Snake
Rhadinella lisyae,rear-fanged,unclear toxicity,???,Lisy's snake
Rhadinella lachrymans,rear-fanged,unclear toxicity,???,Tearful Pine Oak Snake
Rhadinella kinkelini,rear-fanged,unclear toxicity,???,Kinkelin Graceful Brown Snake
Rhadinella kanalchutchan,rear-fanged,unclear toxicity,???,Kanalchutchan Dwarf Brown Snake
Rhadinella hempsteadae,rear-fanged,unclear toxicity,???,Hempstead's Pine Woods Snake
Rhadinella hannsteini,rear-fanged,unclear toxicity,???,Hannstein's Spot lipped Snake
Rhadinella godmani,rear-fanged,unclear toxicity,???,Godman's Graceful Brown Snake
Rhadinella dysmica,rear-fanged,unclear toxicity,???,Guerrero slender leaf litter snake
Rhadinella donaji,rear-fanged,unclear toxicity,???,Donaji’s slender leaflitter snake
Rhadinella anachoreta,rear-fanged,unclear toxicity,???,Reclusive Forest Snake
Rhadinaea vermiculaticeps,rear-fanged,unclear toxicity,???,Vermiculate Graceful Brown Snake
Rhadinaea taeniata,rear-fanged,unclear toxicity,???,Pine Oak Snake
Rhadinaea stadelmani,rear-fanged,unclear toxicity,???,Stadelman's Pine Woods Snake
Rhadinaea sargenti,rear-fanged,unclear toxicity,???,Sargent's Graceful Brown Snake
Rhadinaea quinquelineata,rear-fanged,unclear toxicity,???,Pueblan Graceful Brown Snake
Rhadinaea pulveriventris,rear-fanged,unclear toxicity,???,Common Graceful Brown Snake
Rhadinaea omiltemana,rear-fanged,unclear toxicity,???,Guerreran Pine Woods Snake
Rhadinaea myersi,rear-fanged,unclear toxicity,???,Myers' Graceful Brown Snake
Rhadinaea montana,rear-fanged,unclear toxicity,???,Nuevo Leon Graceful Brown Snake
Rhadinaea marcellae,rear-fanged,unclear toxicity,???,Marcella's Graceful Brown Snake
Rhadinaea macdougalli,rear-fanged,unclear toxicity,???,MacDougall's Graceful Brown Snake
Rhadinaea laureata,rear-fanged,unclear toxicity,???,Crowned Graceful Brown Snake
Rhadinaea hesperia,rear-fanged,unclear toxicity,???,Western Graceful Brown Snake
Rhadinaea gaigeae,rear-fanged,unclear toxicity,???,Gaige's Pine Forest Snake
Rhadinaea fulvivittis,rear-fanged,unclear toxicity,???,Ribbon Graceful Brown Snake
Rhadinaea forbesi,rear-fanged,unclear toxicity,???,Forbes' Graceful Brown Snake
Rhadinaea flavilata,rear-fanged,unclear toxicity,???,Pine Woods Snake
Rhadinaea decorata,rear-fanged,unclear toxicity,???,Adorned Graceful Brown Snake
Rhadinaea cuneata,rear-fanged,unclear toxicity,???,Veracruz Graceful Brown Snake
Rhadinaea calligaster,rear-fanged,unclear toxicity,???,Thick Graceful Brown Snake
Rhadinaea bogertorum,rear-fanged,unclear toxicity,???,Oaxacan Graceful Brown Snake
Rhachidelus brazili,rear-fanged,unclear toxicity,???,Brazilian Bird Snake
Rhabdops olivaceus,rear-fanged,unclear toxicity,???,Olive Trapezoid Snake
Rhabdops bicolor,rear-fanged,unclear toxicity,???,Brown Trapezoid Snake
Rhabdops aquaticus,rear-fanged,unclear toxicity,???,Water Rhabdops
Rhabdophis tigrinus,rear-fanged,venomous,💀💀💀,Tiger keelback
Rhabdophis swinhonis,rear-fanged,venomous,💀💀💀,Swinhoe's Grass Snake
Rhabdophis subminiatus,rear-fanged,venomous,💀💀💀,Red necked keelback
Rhabdophis spilogaster,rear-fanged,venomous,💀💀💀,Boie's Keelback
Rhabdophis pentasupralabialis,rear-fanged,venomous,💀💀💀,Jiulong keelback
Rhabdophis nuchalis,rear-fanged,venomous,💀💀💀,Hubei keelback
Rhabdophis nigrocinctus,rear-fanged,venomous,💀💀💀,Black striped keelback
Rhabdophis murudensis,rear-fanged,venomous,💀💀💀,Muruden keelback
Rhabdophis lineatus,rear-fanged,venomous,💀💀💀,Striped Keelback
Rhabdophis leonardi,rear-fanged,venomous,💀💀💀,Leonard's Keelback
Rhabdophis himalayanus,rear-fanged,venomous,💀💀💀,Orange collared keelback
Rhabdophis guangdongensis,rear-fanged,venomous,💀💀💀,Guangdong Keelback
Rhabdophis conspicillatus,rear-fanged,venomous,💀💀💀,Red bellied Keelback
Rhabdophis chrysargos,rear-fanged,venomous,💀💀💀,Specklebelly Keelback
Rhabdophis chrysargoides,rear-fanged,venomous,💀💀💀,Sahul Keelback
Rhabdophis callistus,rear-fanged,venomous,💀💀💀,Boettger’s Keelback
Rhabdophis callichroma,rear-fanged,venomous,💀💀💀,Bavi Keelback
Rhabdophis barbouri,rear-fanged,venomous,💀💀💀,Barbour's Keelback
Rhabdophis auriculata,rear-fanged,venomous,💀💀💀,
Rhabdophis angeli,rear-fanged,venomous,💀💀💀,Angel's Keelback
Rhabdophis akraios,rear-fanged,venomous,💀💀💀,Singalang Keelback
Rhabdophis adleri,rear-fanged,venomous,💀💀💀,Adler's Keelback
Rena unguirostris,non-fanged,non-venomous,---,Southern Blind Snake
Rena segrega,non-fanged,non-venomous,---,Trans Pecos Blind Snake
Rena myopica,non-fanged,non-venomous,---,Northeastern blind snake
Rena maxima,non-fanged,non-venomous,---,Giant Blind Snake
Rena iversoni,non-fanged,non-venomous,---,Iverson's blind snake
Rena humilis,non-fanged,non-venomous,---,Western thread snake
Rena dulcis,non-fanged,non-venomous,---,Texas Blind Snake
Rena dugesii,non-fanged,non-venomous,---,Duges’ thread snake
Rena dissecta,non-fanged,non-venomous,---,New Mexico Blind Snake
Rena bressoni,non-fanged,non-venomous,---,Michoacán Slender Blind Snake
Rena boettgeri,non-fanged,non-venomous,---,Boettger's thread snake
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake
Regina grahamii,rear-fanged,unclear toxicity,???,Graham's Crayfish Snake
Ramphotyphlops willeyi,non-fanged,non-venomous,---,Loyalty Islands Blind Snake
Ramphotyphlops supranasalis,non-fanged,non-venomous,---,Salawati Blind Snake
Ramphotyphlops suluensis,non-fanged,non-venomous,---,Sulu Blind Snake
Ramphotyphlops similis,non-fanged,non-venomous,---,Manukwari Blind Snake
Ramphotyphlops olivaceus,non-fanged,non-venomous,---,Olive Blind Snake
Ramphotyphlops multilineatus,non-fanged,non-venomous,---,Hook nosed blind snake
Ramphotyphlops marxi,non-fanged,non-venomous,---,Marx's Worm Snake
Ramphotyphlops mansuetus,non-fanged,non-venomous,---,Small headed Blind Snake
Ramphotyphlops lorenzi,non-fanged,non-venomous,---,Lorenz's Blind Snake
Ramphotyphlops lineatus,non-fanged,non-venomous,---,Striped Blind Snake
Ramphotyphlops hatmaliyeb,non-fanged,non-venomous,---,Ulithi Atoll Blind Snake
Ramphotyphlops flaviventer,non-fanged,non-venomous,---,Yellowbellied blind snake
Ramphotyphlops exocoeti,non-fanged,non-venomous,---,Christmas Island Blind Snake
Ramphotyphlops depressus,non-fanged,non-venomous,---,Melanesia Blindsnake
Ramphotyphlops cumingii,non-fanged,non-venomous,---,Cuming's Blind Snake
Ramphotyphlops conradi,non-fanged,non-venomous,---,Conrad's Worm Snake
Ramphotyphlops bipartitus,non-fanged,non-venomous,---,Southern New Guinea blind snake
Ramphotyphlops becki,non-fanged,non-venomous,---,Beck’s Blind Snake
Ramphotyphlops angusticeps,non-fanged,non-venomous,---,Arboreal Blind Snake
Ramphotyphlops adocetus,non-fanged,non-venomous,---,Unexpected blind snake
Ramphotyphlops acuticaudus,non-fanged,non-venomous,---,Palau Island Blind Snake
Raclitia indica,rear-fanged,venomous,💀💀,Selangor Mud Snake
Rabdion grovesi,rear-fanged,unclear toxicity,???,Grove's pointed snake
Rabdion forsteni,rear-fanged,unclear toxicity,???,Forsten’s Pointed Snake
Python sebae,non-fanged,non-venomous,🐍🐍🐍🐍,Northern African rock python
Python regius,non-fanged,non-venomous,🐍🐍,Royal python
Python natalensis,non-fanged,non-venomous,🐍🐍🐍🐍,Natal rock python
Python molurus,non-fanged,non-venomous,🐍🐍🐍🐍,Indian rock python
Python kyaiktiyo,non-fanged,non-venomous,🐍🐍,Kyaiktiyo python
Python curtus,non-fanged,non-venomous,🐍🐍🐍,Blood python
Python brongersmai,non-fanged,non-venomous,🐍🐍🐍,Brongersma's short tailed python
Python breitensteini,non-fanged,non-venomous,🐍🐍,Borneo python
Python bivittatus,non-fanged,non-venomous,🐍🐍🐍🐍,Burmese python
Python anchietae,non-fanged,non-venomous,🐍🐍,Angolan python
Pythonodipsas carinata,"rear-fanged, palatine-fanged",venomous,?💀?,Western Keeled Snake
Ptychophis flavovirgatus,rear-fanged,unclear toxicity,???,Fanged Water Snake
Ptyas nigromarginata,rear-fanged,unclear toxicity,???,Green rat snake
Ptyas mucosa,rear-fanged,unclear toxicity,???,Common Oriental Rat Snake
Ptyas luzonensis,rear-fanged,unclear toxicity,???,Smooth Scaled Mountain Rat Snake
Ptyas korros,rear-fanged,unclear toxicity,???,Indo Chinese Rat Snake
Ptyas fusca,rear-fanged,unclear toxicity,???,White bellied Rat Snake
Ptyas dipsas,rear-fanged,unclear toxicity,???,Sulawesi Black Racer
Ptyas dhumnades,rear-fanged,unclear toxicity,???,Big eyed Rat Snake
Ptyas carinata,rear-fanged,unclear toxicity,???,Keeled Rat Snake
Psomophis obtusus,rear-fanged,unclear toxicity,???,Wide Ground Snake
Psomophis joberti,rear-fanged,unclear toxicity,???,Brazilian Ground Snake
Psomophis genimaculatus,rear-fanged,unclear toxicity,???,Spirit Ground Snake
Pseudoxyrhopus tritaeniatus,non-fanged,non-venomous,---,Three striped Ground Snake
Pseudoxyrhopus sokosoko,non-fanged,non-venomous,---,Sokosoko Ground Snake
Pseudoxyrhopus quinquelineatus,non-fanged,non-venomous,---,Striped Brook Snake
Pseudoxyrhopus oblectator,non-fanged,non-venomous,---,Ranomafana Ground Snake
Pseudoxyrhopus microps,non-fanged,non-venomous,---,Brown Brook Snake
Pseudoxyrhopus kely,non-fanged,non-venomous,---,Mandena Ground Snake
Pseudoxyrhopus imerinae,non-fanged,non-venomous,---,Plateau Brook Snake
Pseudoxyrhopus heterurus,non-fanged,non-venomous,---,Night Brook Snake
Pseudoxyrhopus ankafinaensis,non-fanged,non-venomous,---,Ankafina Ground Snake
Pseudoxyrhopus analabe,non-fanged,non-venomous,---,Anjanaharibe Ground Snake
Pseudoxyrhopus ambreensis,non-fanged,non-venomous,---,Ambre Brook Snake
Pseudoxenodon stejnegeri,rear-fanged,venomous,?💀?,Stejneger's Bamboo Snake
Pseudoxenodon macrops,rear-fanged,unclear toxicity,???,Mock Cobra
Pseudoxenodon karlschmidti,rear-fanged,unclear toxicity,???,Chinese Bamboo Snake
Pseudoxenodon inornatus,rear-fanged,unclear toxicity,???,Javanese False Cobra
Pseudoxenodon baramensis,rear-fanged,unclear toxicity,???,Baramen Bamboo Snake
Pseudoxenodon bambusicola,rear-fanged,unclear toxicity,???,Bamboo snake
Pseudotomodon trigonatus,rear-fanged,unclear toxicity,???,False Tomodon Snake
Pseudorabdion torquatum,rear-fanged,unclear toxicity,???,Twisted reed snake
Pseudorabdion taylori,rear-fanged,unclear toxicity,???,Taylor's Burrowing Snake
Pseudorabdion talonuran,rear-fanged,unclear toxicity,???,Panay Island Reed Snake
Pseudorabdion sirambense,rear-fanged,unclear toxicity,???,Sirambi Dwarf Reed Snake
Pseudorabdion saravacense,rear-fanged,unclear toxicity,???,Sarawak Dwarf Reed Snake
Pseudorabdion sarasinorum,rear-fanged,unclear toxicity,???,Sarasin’s Reed Snake
Pseudorabdion oxycephalum,rear-fanged,unclear toxicity,???,Günther's Dwarf Reed Snake
Pseudorabdion montanum,rear-fanged,unclear toxicity,???,Mountain Burrowing Snake
Pseudorabdion modiglianii,rear-fanged,unclear toxicity,???,Modigliani’s dwarf reed snake
Pseudorabdion mcnamarae,rear-fanged,unclear toxicity,???,McNamara's Burrowing Snake
Pseudorabdion longiceps,rear-fanged,unclear toxicity,???,Dwarf Reed Snake
Pseudorabdion eiselti,rear-fanged,unclear toxicity,???,Eiselt's Dwarf Reed Snake
Pseudorabdion collaris,rear-fanged,unclear toxicity,???,Common Collared Snake
Pseudorabdion ater,rear-fanged,unclear toxicity,???,Zamboanga Burrowing Snake
Pseudorabdion albonuchalis,rear-fanged,unclear toxicity,???,White collared Reed Snake
Pseudoplectrurus canaricus,non-fanged,non-venomous,---,Karnataka shieldtail
Pseudonaja textilis,front-fanged,venomous,💀💀💀💀,Eastern brown snake
Pseudonaja nuchalis,front-fanged,venomous,💀💀💀💀,Western brown snake
Pseudonaja modesta,front-fanged,venomous,💀💀,Ringed brown snake
Pseudonaja mengdeni,front-fanged,venomous,💀💀💀💀,Gwardar
Pseudonaja ingrami,front-fanged,venomous,💀💀💀💀,Ingram's brown snake
Pseudonaja inframacula,front-fanged,venomous,💀💀💀💀,Peninsula brown snake
Pseudonaja guttata,front-fanged,venomous,💀💀💀💀,Speckled brown snake
Pseudonaja aspidorhyncha,front-fanged,venomous,💀💀💀,Shield snouted brown snake
Pseudonaja affinis,front-fanged,venomous,💀💀💀💀,Dugite
Pseudoleptodeira latifasciata,rear-fanged,unclear toxicity,???,False Cat eyed Snake
Pseudohaje nigra,front-fanged,venomous,💀💀💀💀,Black tree cobra
Pseudohaje goldii,front-fanged,venomous,💀💀💀💀,Gold's tree cobra
Pseudoficimia frontalis,rear-fanged,unclear toxicity,???,False Ficimia
Pseudoferania polylepis,rear-fanged,venomous,?💀?,
Pseudoeryx relictualis,rear-fanged,unclear toxicity,???,South American Pond Snake
Pseudoeryx plicatilis,rear-fanged,unclear toxicity,???,South American Pond Snake
Pseudocerastes urarachnoides,front-fanged,venomous,💀💀💀💀,Spider tailed horned viper
Pseudocerastes persicus,front-fanged,venomous,💀💀💀,Persian horned viper
Pseudocerastes fieldi,front-fanged,venomous,💀💀💀💀,Field's horned viper
Pseudoboodon sandfordorum,non-fanged,unclear toxicity,???,Sandford’s Ethiopian mountain snake
Pseudoboodon lemniscatus,non-fanged,unclear toxicity,???,Striped Ethiopian Snake
Pseudoboodon gascae,non-fanged,unclear toxicity,???,Gasca’s Ethiopian Snake
Pseudoboodon boehmei,non-fanged,unclear toxicity,???,Böhme’s Ethiopian Snake
Pseudoboa serrana,rear-fanged,unclear toxicity,???,Southeastern Scarlet Snake
Pseudoboa nigra,rear-fanged,unclear toxicity,???,Black False Boa
Pseudoboa neuwiedii,rear-fanged,unclear toxicity,???,Neuwied's False Boa
Pseudoboa martinsi,rear-fanged,unclear toxicity,???,Pale collared Scarlet Snake
Pseudoboa haasi,rear-fanged,unclear toxicity,???,Paraná False Boa
Pseudoboa coronata,rear-fanged,unclear toxicity,???,Crowned False Boa
Pseudelaphe phaescens,rear-fanged,unclear toxicity,???,Yucatan Rat Snake
Pseudelaphe flavirufa,rear-fanged,unclear toxicity,???,Yellow red Rat Snake
Pseudechis weigeli,front-fanged,venomous,💀💀💀,Pygmy mulga snake
Pseudechis rossignolii,front-fanged,venomous,💀💀💀,Papuan Dwarf King Brown
Pseudechis porphyriacus,front-fanged,venomous,💀💀💀💀,Red bellied black snake
Pseudechis papuanus,front-fanged,venomous,💀💀💀💀,Papuan black snake
Pseudechis pailsei,front-fanged,venomous,💀💀💀💀,Pail's black snake
Pseudechis guttatus,front-fanged,venomous,💀💀💀💀,Blue bellied black snake
Pseudechis colletti,front-fanged,venomous,💀💀💀,Collett's black snake
Pseudechis butleri,front-fanged,venomous,💀💀💀💀,Butler's black snake
Pseudechis australis,front-fanged,venomous,💀💀💀💀,Mulga snake
Pseudaspis cana,rear-fanged,non-venomous,---,African Mole Snake
Pseudalsophis steindachneri,rear-fanged,unclear toxicity,???,Striped Galapagos Snake
Pseudalsophis slevini,rear-fanged,unclear toxicity,???,Banded Galapagos Snake
Pseudalsophis occidentalis,rear-fanged,unclear toxicity,???,Western Galapagos racer
Pseudalsophis hoodensis,rear-fanged,unclear toxicity,???,Españolan Galapagos Racer
Pseudalsophis elegans,rear-fanged,unclear toxicity,???,South American Elegant Racer
Pseudalsophis dorsalis,rear-fanged,unclear toxicity,???,Central Galapagos Racer
Pseudalsophis biserialis,rear-fanged,unclear toxicity,???,Galapagos Racer
Psammophylax variabilis,rear-fanged,venomous,?💀?,Grey bellied Grass Snake
Psammophylax tritaeniatus,rear-fanged,venomous,💀💀,Striped Skaapsteker
Psammophylax togoensis,rear-fanged,venomous,?💀?,Togo Skaapsteker
Psammophylax rhombeatus,rear-fanged,venomous,💀💀,Rhombic Skaapsteker
Psammophylax multisquamis,rear-fanged,unclear toxicity,???,Kenyan Striped Skaapsteker
Psammophylax acutus,rear-fanged,venomous,?💀?,Striped Beaked Snake
Psammophis zambiensis,rear-fanged,venomous,💀💀,Zambian Whip Snake
Psammophis trinasalis,rear-fanged,venomous,💀💀,Fork marked Sand Snake
Psammophis trigrammus,rear-fanged,venomous,💀💀,Western Sand Snake
Psammophis tanganicus,rear-fanged,venomous,💀💀,Tanganyika Sand Snake
Psammophis sudanensis,rear-fanged,venomous,💀💀,Sudanese Sand Snake
Psammophis subtaeniatus,rear-fanged,venomous,💀💀,Stripe bellied Sand Snake
Psammophis sibilans,rear-fanged,venomous,💀💀,Hissing Sand Snake
Psammophis schokari,rear-fanged,venomous,💀💀,Forskal Sand Snake
Psammophis rukwae,rear-fanged,venomous,💀💀,Rukwa Sand Racer
Psammophis punctulatus,rear-fanged,venomous,💀💀,Speckled Sand Racer
Psammophis pulcher,rear-fanged,venomous,💀💀,Beautiful Sand snake
Psammophis praeornatus,rear-fanged,venomous,💀💀,Ornate Olympic Snake
Psammophis phillipsii,rear-fanged,venomous,💀💀,Olive Grass Racer
Psammophis orientalis,rear-fanged,venomous,💀💀,Eastern Stripe bellied Sand Snake
Psammophis occidentalis,rear-fanged,venomous,💀💀,Central African Olive Grass Snake
Psammophis notostictus,rear-fanged,venomous,💀💀,Karoo Whip Snake
Psammophis namibensis,rear-fanged,venomous,💀💀,Namib Sand Snake
Psammophis mossambicus,rear-fanged,venomous,💀💀💀,Olive whip snake
Psammophis longifrons,rear-fanged,venomous,💀💀,Long Sand Racer
Psammophis lineolatus,rear-fanged,venomous,💀💀,Steppe Ribbon Racer
Psammophis lineatus,rear-fanged,venomous,💀💀,Striped Swamp Snake
Psammophis leopardinus,rear-fanged,venomous,💀💀,Leopard Sand Snake
Psammophis leithii,rear-fanged,venomous,💀💀,Pakistani Ribbon snake
Psammophis leightoni,rear-fanged,venomous,💀💀,Cape Sand Snake
Psammophis jallae,rear-fanged,venomous,💀💀,Jalla's Sand Snake
Psammophis indochinensis,rear-fanged,venomous,💀💀,Indo chinese Sand Snake
Psammophis elegans,rear-fanged,venomous,💀💀,Elegant Sand Racer
Psammophis crucifer,rear-fanged,unclear toxicity,???,Montane Grass Snake
Psammophis condanarus,rear-fanged,venomous,💀💀,Sand Snake
Psammophis brevirostris,rear-fanged,unclear toxicity,???,Short snouted Grass Snake
Psammophis biseriatus,rear-fanged,venomous,💀💀,Link marked Sand Snake
Psammophis ansorgii,rear-fanged,venomous,💀💀,Link marked Sand Racer
Psammophis angolensis,rear-fanged,venomous,💀💀,Dwarf Sand Snake
Psammophis aegyptius,rear-fanged,venomous,💀💀,Egyptian Sand Snake
Psammodynastes pulverulentus,"rear-fanged, front-fanged",venomous,?💀?,Common Mock Viper
Psammodynastes pictus,"front-fanged, rear-fanged",venomous,?💀?,Painted Mock Viper
Protobothrops xiangchengensis,front-fanged,venomous,💀💀💀,Szechwan Pit viper
Protobothrops trungkhanhensis,front-fanged,venomous,💀💀💀,Trungkhanh pitviper
Protobothrops tokarensis,front-fanged,venomous,💀💀💀,Tokara Island Pit Viper
Protobothrops sieversorum,front-fanged,venomous,💀💀💀,Three horned scaled pitviper
Protobothrops mucrosquamatus,front-fanged,venomous,💀💀💀💀,Taiwan habu
Protobothrops maolanensis,front-fanged,venomous,💀💀💀,Mao Lan Pit viper
Protobothrops mangshanensis,front-fanged,venomous,💀💀💀💀,Mangshan pitviper
Protobothrops kaulbacki,front-fanged,venomous,💀💀💀,Kaulback’s lance headed pitviper
Protobothrops jerdonii,front-fanged,venomous,💀💀💀,Jerdon's pitviper
Protobothrops himalayanus,front-fanged,venomous,💀💀💀,Himalayan Habu Pit Viper
Protobothrops flavoviridis,front-fanged,venomous,💀💀💀💀,Okinawa habu
Protobothrops elegans,front-fanged,venomous,💀💀💀,Sakishima habu
Protobothrops dabieshanensis,front-fanged,venomous,💀💀💀💀,Dabie Mountains Pit Viper
Protobothrops cornutus,front-fanged,venomous,💀💀💀,Fan Si Pan horned pitviper
Prosymna visseri,rear-fanged,unclear toxicity,???,Visser’s Shovel snout
Prosymna sundevalli,rear-fanged,unclear toxicity,???,Lineolate Shovel snout
Prosymna stuhlmanni,rear-fanged,unclear toxicity,???,East African Shovel Snout
Prosymna somalica,rear-fanged,unclear toxicity,???,Ogaden Racer
Prosymna semifasciata,rear-fanged,unclear toxicity,???,Banded shovel snout
Prosymna ruspolii,rear-fanged,unclear toxicity,???,Southern Somaliland Shovel snout
Prosymna pitmani,rear-fanged,unclear toxicity,???,Pitman's Shovelsnout Snake
Prosymna ornatissima,rear-fanged,unclear toxicity,???,Ornate Shovelsnout Snake
Prosymna meleagris,rear-fanged,unclear toxicity,???,Ghana Shovel snout
Prosymna lineata,rear-fanged,unclear toxicity,???,Mozambique Shovel snout
Prosymna janii,rear-fanged,unclear toxicity,???,Mozambique Shovel snout
Prosymna greigerti,rear-fanged,unclear toxicity,???,Greigert's Shovel snout
Prosymna frontalis,rear-fanged,unclear toxicity,???,South western African Shovel snout
Prosymna bivittata,rear-fanged,non-venomous,---,Twin striped Shovel snout
Prosymna angolensis,rear-fanged,unclear toxicity,???,Angola Shovel snout
Prosymna ambigua,rear-fanged,unclear toxicity,???,East African Shovelsnout Snake
Proatheris superciliaris,front-fanged,venomous,💀💀💀💀,Lowland swamp viper
Porthidium yucatanicum,front-fanged,venomous,💀💀💀,Yucatán hog nosed pitviper
Porthidium volcanicum,front-fanged,venomous,💀💀💀,Ujarran hognosed pitviper
Porthidium porrasi,front-fanged,venomous,💀💀💀,White tailed hog nosed viper
Porthidium ophryomegas,front-fanged,venomous,💀💀💀,Slender hognosed pitviper
Porthidium nasutum,front-fanged,venomous,💀💀💀,Rainforest hog nosed pitviper
Porthidium lansbergii,front-fanged,venomous,💀💀💀,Lansberg's hognosed pitviper
Porthidium hespere,front-fanged,venomous,💀💀💀,Western hognose viper
Porthidium dunni,front-fanged,venomous,💀💀💀,Dunn's hognose viper
Porthidium arcosae,front-fanged,venomous,💀💀💀,Manabi hognose Pit viper
Polemon robustus,rear-fanged,venomous,?💀?,Zaire Snake eater
Polemon notatus,rear-fanged,venomous,?💀?,African Spotted Snake Eater
Polemon neuwiedi,rear-fanged,venomous,?💀?,Ivory Coast Snake eater
Polemon griseiceps,rear-fanged,venomous,?💀?,Cameroon Snake eater
Polemon gracilis,rear-fanged,venomous,?💀?,Graceful Snake eater
Polemon gabonensis,rear-fanged,venomous,?💀?,Gaboon Snake eater
Polemon fulvicollis,rear-fanged,venomous,?💀?,African Snake eater
Polemon collaris,rear-fanged,venomous,?💀?,Collared Snake eater
Polemon christyi,rear-fanged,venomous,?💀?,Eastern Snake eater
Polemon bocourti,rear-fanged,venomous,?💀?,Bocourt's Snake eater
Polemon barthii,rear-fanged,venomous,?💀?,Guinea Snake eater
Polemon acanthias,rear-fanged,venomous,?💀?,Reinhardt's Snake eater
Poecilopholis cameronensis,rear-fanged,unclear toxicity,???,Cameroon Racer
Pliocercus euryzonus,rear-fanged,venomous,?💀?,Cope's False Coral Snake
Pliocercus elapoides,rear-fanged,venomous,💀💀,Variegated False Coral Snake
Plesiodipsas perijanensis,rear-fanged,unclear toxicity,???,Aleman's Snail eater
Plectrurus perroteti,non-fanged,non-venomous,---,Nilgiri burrowing snake
Plectrurus guentheri,non-fanged,non-venomous,---,Günther's burrowing snake
Plectrurus aureus,non-fanged,non-venomous,---,Kerala burrowing snake
Platyplectrurus trilineatus,non-fanged,non-venomous,---,Lined thorntail snake
Platyplectrurus madurensis,non-fanged,non-venomous,---,Travancore Hills thorntail snake
Platyceps ventromaculatus,rear-fanged,unclear toxicity,???,Glossy bellied Racer
Platyceps variabilis,rear-fanged,unclear toxicity,???,Variable Snake
Platyceps thomasi,rear-fanged,unclear toxicity,???,Thomas' Semi banded Racer
Platyceps tessellata,rear-fanged,unclear toxicity,???,Sarahan Cliff Racer
Platyceps taylori,rear-fanged,unclear toxicity,???,Taylor’s Racer
Platyceps somalicus,rear-fanged,unclear toxicity,???,Ogaden Racer
Platyceps sindhensis,rear-fanged,unclear toxicity,???,Sindian racer
Platyceps sinai,rear-fanged,unclear toxicity,???,Sinai Racer
Platyceps scortecci,rear-fanged,unclear toxicity,???,Scortecci's slender racer
Platyceps saharicus,rear-fanged,unclear toxicity,???,
Platyceps rogersi,rear-fanged,unclear toxicity,???,Rogers' racer
Platyceps rhodorachis,rear-fanged,venomous,💀💀,Desert racer
Platyceps noeli,rear-fanged,unclear toxicity,???,Noël's racer
Platyceps najadum,rear-fanged,unclear toxicity,???,Slender Whip Snake
Platyceps messanai,rear-fanged,unclear toxicity,???,Schätti's Racer
Platyceps largeni,rear-fanged,unclear toxicity,???,Dahlak Racer
Platyceps ladacensis,rear-fanged,unclear toxicity,???,Braid Snake
Platyceps karelini,rear-fanged,unclear toxicity,???,Spotted Desert Racer
Platyceps insulanus,rear-fanged,unclear toxicity,???,Sarso Island Racer
Platyceps gracilis,rear-fanged,unclear toxicity,???,Graceful Racer
Platyceps florulentus,rear-fanged,unclear toxicity,???,Flowered Racer
Platyceps elegantissimus,rear-fanged,unclear toxicity,???,Elegant Racer
Platyceps collaris,rear-fanged,unclear toxicity,???,Rötliche Zornnatter
Platyceps brevis,rear-fanged,unclear toxicity,???,Somali Racer
Platyceps bholanathi,rear-fanged,unclear toxicity,???,Sharma's Racer
Platyceps afarensis,rear-fanged,unclear toxicity,???,Djibouti Whip Snake
Plagiopholis styani,rear-fanged,unclear toxicity,???,Chinese Mountain Snake
Plagiopholis nuchalis,rear-fanged,unclear toxicity,???,Assam Mountain Snake
Plagiopholis delacouri,rear-fanged,unclear toxicity,???,Delacour's mountain snake
Plagiopholis blakewayi,rear-fanged,unclear toxicity,???,Blakeway’s Mountain Snake
Pituophis vertebralis,rear-fanged,unclear toxicity,???,Cape Gopher Snake
Pituophis ruthveni,rear-fanged,unclear toxicity,???,Louisiana Pine Snake
